,Adverse Event,Age_Grp,Count
5859,Disorientation,Unknown Age,2
5860,Disorientation,under 1 year old,0
5861,Disorientation,1 to 13 years old,0
5862,Disorientation,13 to 18 years old,1
5863,Disorientation,18 to 40,0
5864,Disorientation,18 to 65 years old,7
5865,Disorientation,over 65 years old,2
5866,Dysstasia,Unknown Age,1
5867,Dysstasia,under 1 year old,0
5868,Dysstasia,1 to 13 years old,0
5869,Dysstasia,13 to 18 years old,0
5870,Dysstasia,18 to 40,0
5871,Dysstasia,18 to 65 years old,1
5872,Dysstasia,over 65 years old,0
5873,Electric shock sensation,Unknown Age,1
5874,Electric shock sensation,under 1 year old,0
5875,Electric shock sensation,1 to 13 years old,0
5876,Electric shock sensation,13 to 18 years old,0
5877,Electric shock sensation,18 to 40,0
5878,Electric shock sensation,18 to 65 years old,0
5879,Electric shock sensation,over 65 years old,0
5880,Injection related reaction,Unknown Age,1
5881,Injection related reaction,under 1 year old,0
5882,Injection related reaction,1 to 13 years old,0
5883,Injection related reaction,13 to 18 years old,0
5884,Injection related reaction,18 to 40,0
5885,Injection related reaction,18 to 65 years old,0
5886,Injection related reaction,over 65 years old,0
5887,Hyperpyrexia,Unknown Age,1
5888,Hyperpyrexia,under 1 year old,0
5889,Hyperpyrexia,1 to 13 years old,0
5890,Hyperpyrexia,13 to 18 years old,0
5891,Hyperpyrexia,18 to 40,0
5892,Hyperpyrexia,18 to 65 years old,0
5893,Hyperpyrexia,over 65 years old,0
5894,Drug monitoring procedure not performed,Unknown Age,1
5895,Drug monitoring procedure not performed,under 1 year old,0
5896,Drug monitoring procedure not performed,1 to 13 years old,0
5897,Drug monitoring procedure not performed,13 to 18 years old,0
5898,Drug monitoring procedure not performed,18 to 40,0
5899,Drug monitoring procedure not performed,18 to 65 years old,0
5900,Drug monitoring procedure not performed,over 65 years old,0
5901,Product communication issue,Unknown Age,1
5902,Product communication issue,under 1 year old,0
5903,Product communication issue,1 to 13 years old,0
5904,Product communication issue,13 to 18 years old,0
5905,Product communication issue,18 to 40,0
5906,Product communication issue,18 to 65 years old,0
5907,Product communication issue,over 65 years old,0
5908,Mucosal inflammation,Unknown Age,0
5909,Mucosal inflammation,under 1 year old,0
5910,Mucosal inflammation,1 to 13 years old,0
5911,Mucosal inflammation,13 to 18 years old,2
5912,Mucosal inflammation,18 to 40,0
5913,Mucosal inflammation,18 to 65 years old,0
5914,Mucosal inflammation,over 65 years old,0
5915,Nephropathy,Unknown Age,0
5916,Nephropathy,under 1 year old,0
5917,Nephropathy,1 to 13 years old,0
5918,Nephropathy,13 to 18 years old,0
5919,Nephropathy,18 to 40,3
5920,Nephropathy,18 to 65 years old,0
5921,Nephropathy,over 65 years old,1
5922,Dry throat,Unknown Age,1
5923,Dry throat,under 1 year old,0
5924,Dry throat,1 to 13 years old,0
5925,Dry throat,13 to 18 years old,0
5926,Dry throat,18 to 40,0
5927,Dry throat,18 to 65 years old,0
5928,Dry throat,over 65 years old,2
5929,Noninfective conjunctivitis,Unknown Age,0
5930,Noninfective conjunctivitis,under 1 year old,0
5931,Noninfective conjunctivitis,1 to 13 years old,0
5932,Noninfective conjunctivitis,13 to 18 years old,1
5933,Noninfective conjunctivitis,18 to 40,0
5934,Noninfective conjunctivitis,18 to 65 years old,0
5935,Noninfective conjunctivitis,over 65 years old,0
5936,Pneumonia mycoplasmal,Unknown Age,0
5937,Pneumonia mycoplasmal,under 1 year old,0
5938,Pneumonia mycoplasmal,1 to 13 years old,0
5939,Pneumonia mycoplasmal,13 to 18 years old,1
5940,Pneumonia mycoplasmal,18 to 40,0
5941,Pneumonia mycoplasmal,18 to 65 years old,0
5942,Pneumonia mycoplasmal,over 65 years old,0
5943,Corneal disorder,Unknown Age,0
5944,Corneal disorder,under 1 year old,0
5945,Corneal disorder,1 to 13 years old,2
5946,Corneal disorder,13 to 18 years old,0
5947,Corneal disorder,18 to 40,0
5948,Corneal disorder,18 to 65 years old,0
5949,Corneal disorder,over 65 years old,0
5950,Medication overuse headache,Unknown Age,3
5951,Medication overuse headache,under 1 year old,0
5952,Medication overuse headache,1 to 13 years old,0
5953,Medication overuse headache,13 to 18 years old,2
5954,Medication overuse headache,18 to 40,2
5955,Medication overuse headache,18 to 65 years old,0
5956,Medication overuse headache,over 65 years old,0
5957,Seasonal allergy,Unknown Age,1
5958,Seasonal allergy,under 1 year old,0
5959,Seasonal allergy,1 to 13 years old,0
5960,Seasonal allergy,13 to 18 years old,0
5961,Seasonal allergy,18 to 40,1
5962,Seasonal allergy,18 to 65 years old,0
5963,Seasonal allergy,over 65 years old,0
5964,Angiopathy,Unknown Age,1
5965,Angiopathy,under 1 year old,0
5966,Angiopathy,1 to 13 years old,0
5967,Angiopathy,13 to 18 years old,0
5968,Angiopathy,18 to 40,0
5969,Angiopathy,18 to 65 years old,0
5970,Angiopathy,over 65 years old,0
5971,Labyrinthitis,Unknown Age,1
5972,Labyrinthitis,under 1 year old,0
5973,Labyrinthitis,1 to 13 years old,0
5974,Labyrinthitis,13 to 18 years old,0
5975,Labyrinthitis,18 to 40,0
5976,Labyrinthitis,18 to 65 years old,0
5977,Labyrinthitis,over 65 years old,0
5978,Loose tooth,Unknown Age,1
5979,Loose tooth,under 1 year old,0
5980,Loose tooth,1 to 13 years old,0
5981,Loose tooth,13 to 18 years old,0
5982,Loose tooth,18 to 40,0
5983,Loose tooth,18 to 65 years old,0
5984,Loose tooth,over 65 years old,0
5985,Muscle twitching,Unknown Age,1
5986,Muscle twitching,under 1 year old,0
5987,Muscle twitching,1 to 13 years old,0
5988,Muscle twitching,13 to 18 years old,0
5989,Muscle twitching,18 to 40,0
5990,Muscle twitching,18 to 65 years old,0
5991,Muscle twitching,over 65 years old,1
5992,Noninfective gingivitis,Unknown Age,1
5993,Noninfective gingivitis,under 1 year old,0
5994,Noninfective gingivitis,1 to 13 years old,1
5995,Noninfective gingivitis,13 to 18 years old,0
5996,Noninfective gingivitis,18 to 40,0
5997,Noninfective gingivitis,18 to 65 years old,0
5998,Noninfective gingivitis,over 65 years old,1
5999,Osteitis,Unknown Age,1
6000,Osteitis,under 1 year old,0
6001,Osteitis,1 to 13 years old,0
6002,Osteitis,13 to 18 years old,0
6003,Osteitis,18 to 40,0
6004,Osteitis,18 to 65 years old,0
6005,Osteitis,over 65 years old,0
6006,Parkinson's disease,Unknown Age,1
6007,Parkinson's disease,under 1 year old,0
6008,Parkinson's disease,1 to 13 years old,0
6009,Parkinson's disease,13 to 18 years old,0
6010,Parkinson's disease,18 to 40,0
6011,Parkinson's disease,18 to 65 years old,0
6012,Parkinson's disease,over 65 years old,4
6013,Post viral fatigue syndrome,Unknown Age,1
6014,Post viral fatigue syndrome,under 1 year old,0
6015,Post viral fatigue syndrome,1 to 13 years old,0
6016,Post viral fatigue syndrome,13 to 18 years old,0
6017,Post viral fatigue syndrome,18 to 40,0
6018,Post viral fatigue syndrome,18 to 65 years old,0
6019,Post viral fatigue syndrome,over 65 years old,0
6020,Tooth fracture,Unknown Age,1
6021,Tooth fracture,under 1 year old,0
6022,Tooth fracture,1 to 13 years old,0
6023,Tooth fracture,13 to 18 years old,0
6024,Tooth fracture,18 to 40,0
6025,Tooth fracture,18 to 65 years old,4
6026,Tooth fracture,over 65 years old,0
6027,Chronic hepatitis,Unknown Age,0
6028,Chronic hepatitis,under 1 year old,0
6029,Chronic hepatitis,1 to 13 years old,0
6030,Chronic hepatitis,13 to 18 years old,1
6031,Chronic hepatitis,18 to 40,0
6032,Chronic hepatitis,18 to 65 years old,0
6033,Chronic hepatitis,over 65 years old,0
6034,Infectious mononucleosis,Unknown Age,0
6035,Infectious mononucleosis,under 1 year old,0
6036,Infectious mononucleosis,1 to 13 years old,0
6037,Infectious mononucleosis,13 to 18 years old,1
6038,Infectious mononucleosis,18 to 40,0
6039,Infectious mononucleosis,18 to 65 years old,0
6040,Infectious mononucleosis,over 65 years old,0
6041,Pulmonary alveolar haemorrhage,Unknown Age,0
6042,Pulmonary alveolar haemorrhage,under 1 year old,0
6043,Pulmonary alveolar haemorrhage,1 to 13 years old,0
6044,Pulmonary alveolar haemorrhage,13 to 18 years old,1
6045,Pulmonary alveolar haemorrhage,18 to 40,0
6046,Pulmonary alveolar haemorrhage,18 to 65 years old,0
6047,Pulmonary alveolar haemorrhage,over 65 years old,0
6048,Product package associated injury,Unknown Age,3
6049,Product package associated injury,under 1 year old,0
6050,Product package associated injury,1 to 13 years old,0
6051,Product package associated injury,13 to 18 years old,0
6052,Product package associated injury,18 to 40,0
6053,Product package associated injury,18 to 65 years old,0
6054,Product package associated injury,over 65 years old,0
6055,Product packaging difficult to open,Unknown Age,5
6056,Product packaging difficult to open,under 1 year old,0
6057,Product packaging difficult to open,1 to 13 years old,0
6058,Product packaging difficult to open,13 to 18 years old,0
6059,Product packaging difficult to open,18 to 40,0
6060,Product packaging difficult to open,18 to 65 years old,0
6061,Product packaging difficult to open,over 65 years old,0
6062,Hypernatraemia,Unknown Age,0
6063,Hypernatraemia,under 1 year old,0
6064,Hypernatraemia,1 to 13 years old,0
6065,Hypernatraemia,13 to 18 years old,0
6066,Hypernatraemia,18 to 40,0
6067,Hypernatraemia,18 to 65 years old,0
6068,Hypernatraemia,over 65 years old,3
6069,Starvation ketoacidosis,Unknown Age,0
6070,Starvation ketoacidosis,under 1 year old,0
6071,Starvation ketoacidosis,1 to 13 years old,0
6072,Starvation ketoacidosis,13 to 18 years old,0
6073,Starvation ketoacidosis,18 to 40,0
6074,Starvation ketoacidosis,18 to 65 years old,0
6075,Starvation ketoacidosis,over 65 years old,3
6076,Acute respiratory distress syndrome,Unknown Age,0
6077,Acute respiratory distress syndrome,under 1 year old,0
6078,Acute respiratory distress syndrome,1 to 13 years old,2
6079,Acute respiratory distress syndrome,13 to 18 years old,0
6080,Acute respiratory distress syndrome,18 to 40,2
6081,Acute respiratory distress syndrome,18 to 65 years old,4
6082,Acute respiratory distress syndrome,over 65 years old,0
6083,Calcinosis,Unknown Age,0
6084,Calcinosis,under 1 year old,0
6085,Calcinosis,1 to 13 years old,0
6086,Calcinosis,13 to 18 years old,0
6087,Calcinosis,18 to 40,0
6088,Calcinosis,18 to 65 years old,1
6089,Calcinosis,over 65 years old,1
6090,Osteolysis,Unknown Age,0
6091,Osteolysis,under 1 year old,0
6092,Osteolysis,1 to 13 years old,0
6093,Osteolysis,13 to 18 years old,0
6094,Osteolysis,18 to 40,0
6095,Osteolysis,18 to 65 years old,0
6096,Osteolysis,over 65 years old,1
6097,Raynaud's phenomenon,Unknown Age,0
6098,Raynaud's phenomenon,under 1 year old,0
6099,Raynaud's phenomenon,1 to 13 years old,0
6100,Raynaud's phenomenon,13 to 18 years old,0
6101,Raynaud's phenomenon,18 to 40,1
6102,Raynaud's phenomenon,18 to 65 years old,3
6103,Raynaud's phenomenon,over 65 years old,1
6104,Haematotoxicity,Unknown Age,1
6105,Haematotoxicity,under 1 year old,0
6106,Haematotoxicity,1 to 13 years old,0
6107,Haematotoxicity,13 to 18 years old,0
6108,Haematotoxicity,18 to 40,0
6109,Haematotoxicity,18 to 65 years old,0
6110,Haematotoxicity,over 65 years old,0
6111,Haemolysis,Unknown Age,4
6112,Haemolysis,under 1 year old,0
6113,Haemolysis,1 to 13 years old,0
6114,Haemolysis,13 to 18 years old,0
6115,Haemolysis,18 to 40,4
6116,Haemolysis,18 to 65 years old,0
6117,Haemolysis,over 65 years old,0
6118,Acidosis hyperchloraemic,Unknown Age,1
6119,Acidosis hyperchloraemic,under 1 year old,0
6120,Acidosis hyperchloraemic,1 to 13 years old,0
6121,Acidosis hyperchloraemic,13 to 18 years old,0
6122,Acidosis hyperchloraemic,18 to 40,0
6123,Acidosis hyperchloraemic,18 to 65 years old,3
6124,Acidosis hyperchloraemic,over 65 years old,2
6125,Hypoalbuminaemia,Unknown Age,0
6126,Hypoalbuminaemia,under 1 year old,0
6127,Hypoalbuminaemia,1 to 13 years old,0
6128,Hypoalbuminaemia,13 to 18 years old,0
6129,Hypoalbuminaemia,18 to 40,0
6130,Hypoalbuminaemia,18 to 65 years old,1
6131,Hypoalbuminaemia,over 65 years old,0
6132,Therapeutic product effect delayed,Unknown Age,4
6133,Therapeutic product effect delayed,under 1 year old,0
6134,Therapeutic product effect delayed,1 to 13 years old,0
6135,Therapeutic product effect delayed,13 to 18 years old,0
6136,Therapeutic product effect delayed,18 to 40,0
6137,Therapeutic product effect delayed,18 to 65 years old,0
6138,Therapeutic product effect delayed,over 65 years old,2
6139,Cardiac disorder,Unknown Age,3
6140,Cardiac disorder,under 1 year old,0
6141,Cardiac disorder,1 to 13 years old,0
6142,Cardiac disorder,13 to 18 years old,0
6143,Cardiac disorder,18 to 40,1
6144,Cardiac disorder,18 to 65 years old,0
6145,Cardiac disorder,over 65 years old,0
6146,Product contamination microbial,Unknown Age,1
6147,Product contamination microbial,under 1 year old,0
6148,Product contamination microbial,1 to 13 years old,0
6149,Product contamination microbial,13 to 18 years old,0
6150,Product contamination microbial,18 to 40,0
6151,Product contamination microbial,18 to 65 years old,0
6152,Product contamination microbial,over 65 years old,0
6153,Pyroglutamate increased,Unknown Age,0
6154,Pyroglutamate increased,under 1 year old,0
6155,Pyroglutamate increased,1 to 13 years old,0
6156,Pyroglutamate increased,13 to 18 years old,0
6157,Pyroglutamate increased,18 to 40,2
6158,Pyroglutamate increased,18 to 65 years old,0
6159,Pyroglutamate increased,over 65 years old,4
6160,Blood pH decreased,Unknown Age,1
6161,Blood pH decreased,under 1 year old,0
6162,Blood pH decreased,1 to 13 years old,0
6163,Blood pH decreased,13 to 18 years old,0
6164,Blood pH decreased,18 to 40,2
6165,Blood pH decreased,18 to 65 years old,5
6166,Blood pH decreased,over 65 years old,1
6167,Drug resistance,Unknown Age,0
6168,Drug resistance,under 1 year old,0
6169,Drug resistance,1 to 13 years old,0
6170,Drug resistance,13 to 18 years old,0
6171,Drug resistance,18 to 40,0
6172,Drug resistance,18 to 65 years old,1
6173,Drug resistance,over 65 years old,0
6174,Exposure to toxic agent,Unknown Age,3
6175,Exposure to toxic agent,under 1 year old,0
6176,Exposure to toxic agent,1 to 13 years old,1
6177,Exposure to toxic agent,13 to 18 years old,5
6178,Exposure to toxic agent,18 to 40,37
6179,Exposure to toxic agent,18 to 65 years old,133
6180,Exposure to toxic agent,over 65 years old,73
6181,Liver function test increased,Unknown Age,2
6182,Liver function test increased,under 1 year old,0
6183,Liver function test increased,1 to 13 years old,0
6184,Liver function test increased,13 to 18 years old,0
6185,Liver function test increased,18 to 40,0
6186,Liver function test increased,18 to 65 years old,1
6187,Liver function test increased,over 65 years old,0
6188,Macular degeneration,Unknown Age,2
6189,Macular degeneration,under 1 year old,0
6190,Macular degeneration,1 to 13 years old,0
6191,Macular degeneration,13 to 18 years old,0
6192,Macular degeneration,18 to 40,0
6193,Macular degeneration,18 to 65 years old,0
6194,Macular degeneration,over 65 years old,1
6195,Malnutrition,Unknown Age,0
6196,Malnutrition,under 1 year old,0
6197,Malnutrition,1 to 13 years old,0
6198,Malnutrition,13 to 18 years old,0
6199,Malnutrition,18 to 40,0
6200,Malnutrition,18 to 65 years old,0
6201,Malnutrition,over 65 years old,1
6202,Choking,Unknown Age,0
6203,Choking,under 1 year old,3
6204,Choking,1 to 13 years old,0
6205,Choking,13 to 18 years old,0
6206,Choking,18 to 40,0
6207,Choking,18 to 65 years old,2
6208,Choking,over 65 years old,5
6209,Groin pain,Unknown Age,0
6210,Groin pain,under 1 year old,3
6211,Groin pain,1 to 13 years old,0
6212,Groin pain,13 to 18 years old,0
6213,Groin pain,18 to 40,0
6214,Groin pain,18 to 65 years old,0
6215,Groin pain,over 65 years old,1
6216,Inflammation,Unknown Age,8
6217,Inflammation,under 1 year old,2
6218,Inflammation,1 to 13 years old,0
6219,Inflammation,13 to 18 years old,1
6220,Inflammation,18 to 40,0
6221,Inflammation,18 to 65 years old,4
6222,Inflammation,over 65 years old,0
6223,Inguinal hernia,Unknown Age,0
6224,Inguinal hernia,under 1 year old,3
6225,Inguinal hernia,1 to 13 years old,0
6226,Inguinal hernia,13 to 18 years old,0
6227,Inguinal hernia,18 to 40,0
6228,Inguinal hernia,18 to 65 years old,0
6229,Inguinal hernia,over 65 years old,1
6230,Urethral valves,Unknown Age,2
6231,Urethral valves,under 1 year old,0
6232,Urethral valves,1 to 13 years old,0
6233,Urethral valves,13 to 18 years old,0
6234,Urethral valves,18 to 40,0
6235,Urethral valves,18 to 65 years old,0
6236,Urethral valves,over 65 years old,0
6237,Livedo reticularis,Unknown Age,0
6238,Livedo reticularis,under 1 year old,0
6239,Livedo reticularis,1 to 13 years old,3
6240,Livedo reticularis,13 to 18 years old,0
6241,Livedo reticularis,18 to 40,0
6242,Livedo reticularis,18 to 65 years old,0
6243,Livedo reticularis,over 65 years old,0
6244,Product contamination physical,Unknown Age,3
6245,Product contamination physical,under 1 year old,0
6246,Product contamination physical,1 to 13 years old,0
6247,Product contamination physical,13 to 18 years old,0
6248,Product contamination physical,18 to 40,0
6249,Product contamination physical,18 to 65 years old,1
6250,Product contamination physical,over 65 years old,0
6251,Product tampering,Unknown Age,1
6252,Product tampering,under 1 year old,0
6253,Product tampering,1 to 13 years old,0
6254,Product tampering,13 to 18 years old,0
6255,Product tampering,18 to 40,0
6256,Product tampering,18 to 65 years old,0
6257,Product tampering,over 65 years old,0
6258,Cyanosis,Unknown Age,3
6259,Cyanosis,under 1 year old,1
6260,Cyanosis,1 to 13 years old,0
6261,Cyanosis,13 to 18 years old,0
6262,Cyanosis,18 to 40,0
6263,Cyanosis,18 to 65 years old,0
6264,Cyanosis,over 65 years old,1
6265,Hepatic cancer,Unknown Age,2
6266,Hepatic cancer,under 1 year old,0
6267,Hepatic cancer,1 to 13 years old,0
6268,Hepatic cancer,13 to 18 years old,0
6269,Hepatic cancer,18 to 40,0
6270,Hepatic cancer,18 to 65 years old,0
6271,Hepatic cancer,over 65 years old,0
6272,Expired product administered,Unknown Age,11
6273,Expired product administered,under 1 year old,0
6274,Expired product administered,1 to 13 years old,0
6275,Expired product administered,13 to 18 years old,0
6276,Expired product administered,18 to 40,0
6277,Expired product administered,18 to 65 years old,0
6278,Expired product administered,over 65 years old,3
6279,Atrioventricular block complete,Unknown Age,0
6280,Atrioventricular block complete,under 1 year old,0
6281,Atrioventricular block complete,1 to 13 years old,0
6282,Atrioventricular block complete,13 to 18 years old,0
6283,Atrioventricular block complete,18 to 40,0
6284,Atrioventricular block complete,18 to 65 years old,0
6285,Atrioventricular block complete,over 65 years old,1
6286,Hyperglycaemia,Unknown Age,0
6287,Hyperglycaemia,under 1 year old,0
6288,Hyperglycaemia,1 to 13 years old,0
6289,Hyperglycaemia,13 to 18 years old,3
6290,Hyperglycaemia,18 to 40,0
6291,Hyperglycaemia,18 to 65 years old,0
6292,Hyperglycaemia,over 65 years old,2
6293,Hyperkalaemia,Unknown Age,0
6294,Hyperkalaemia,under 1 year old,0
6295,Hyperkalaemia,1 to 13 years old,0
6296,Hyperkalaemia,13 to 18 years old,0
6297,Hyperkalaemia,18 to 40,0
6298,Hyperkalaemia,18 to 65 years old,4
6299,Hyperkalaemia,over 65 years old,5
6300,Febrile neutropenia,Unknown Age,0
6301,Febrile neutropenia,under 1 year old,0
6302,Febrile neutropenia,1 to 13 years old,0
6303,Febrile neutropenia,13 to 18 years old,0
6304,Febrile neutropenia,18 to 40,0
6305,Febrile neutropenia,18 to 65 years old,1
6306,Febrile neutropenia,over 65 years old,0
6307,Knee arthroplasty,Unknown Age,1
6308,Knee arthroplasty,under 1 year old,0
6309,Knee arthroplasty,1 to 13 years old,0
6310,Knee arthroplasty,13 to 18 years old,0
6311,Knee arthroplasty,18 to 40,0
6312,Knee arthroplasty,18 to 65 years old,2
6313,Knee arthroplasty,over 65 years old,0
6314,Eye allergy,Unknown Age,0
6315,Eye allergy,under 1 year old,0
6316,Eye allergy,1 to 13 years old,0
6317,Eye allergy,13 to 18 years old,0
6318,Eye allergy,18 to 40,1
6319,Eye allergy,18 to 65 years old,0
6320,Eye allergy,over 65 years old,0
6321,Chromaturia,Unknown Age,3
6322,Chromaturia,under 1 year old,0
6323,Chromaturia,1 to 13 years old,0
6324,Chromaturia,13 to 18 years old,1
6325,Chromaturia,18 to 40,1
6326,Chromaturia,18 to 65 years old,0
6327,Chromaturia,over 65 years old,1
6328,Spinal compression fracture,Unknown Age,0
6329,Spinal compression fracture,under 1 year old,0
6330,Spinal compression fracture,1 to 13 years old,0
6331,Spinal compression fracture,13 to 18 years old,0
6332,Spinal compression fracture,18 to 40,0
6333,Spinal compression fracture,18 to 65 years old,0
6334,Spinal compression fracture,over 65 years old,1
6335,Axial spondyloarthritis,Unknown Age,1
6336,Axial spondyloarthritis,under 1 year old,0
6337,Axial spondyloarthritis,1 to 13 years old,0
6338,Axial spondyloarthritis,13 to 18 years old,0
6339,Axial spondyloarthritis,18 to 40,0
6340,Axial spondyloarthritis,18 to 65 years old,0
6341,Axial spondyloarthritis,over 65 years old,0
6342,Blood creatine phosphokinase increased,Unknown Age,1
6343,Blood creatine phosphokinase increased,under 1 year old,0
6344,Blood creatine phosphokinase increased,1 to 13 years old,0
6345,Blood creatine phosphokinase increased,13 to 18 years old,3
6346,Blood creatine phosphokinase increased,18 to 40,0
6347,Blood creatine phosphokinase increased,18 to 65 years old,0
6348,Blood creatine phosphokinase increased,over 65 years old,1
6349,C-reactive protein abnormal,Unknown Age,1
6350,C-reactive protein abnormal,under 1 year old,0
6351,C-reactive protein abnormal,1 to 13 years old,0
6352,C-reactive protein abnormal,13 to 18 years old,0
6353,C-reactive protein abnormal,18 to 40,0
6354,C-reactive protein abnormal,18 to 65 years old,0
6355,C-reactive protein abnormal,over 65 years old,0
6356,HLA-B*27 positive,Unknown Age,1
6357,HLA-B*27 positive,under 1 year old,0
6358,HLA-B*27 positive,1 to 13 years old,0
6359,HLA-B*27 positive,13 to 18 years old,0
6360,HLA-B*27 positive,18 to 40,0
6361,HLA-B*27 positive,18 to 65 years old,0
6362,HLA-B*27 positive,over 65 years old,0
6363,Inflammatory pain,Unknown Age,1
6364,Inflammatory pain,under 1 year old,0
6365,Inflammatory pain,1 to 13 years old,0
6366,Inflammatory pain,13 to 18 years old,0
6367,Inflammatory pain,18 to 40,0
6368,Inflammatory pain,18 to 65 years old,0
6369,Inflammatory pain,over 65 years old,0
6370,Migraine with aura,Unknown Age,1
6371,Migraine with aura,under 1 year old,0
6372,Migraine with aura,1 to 13 years old,0
6373,Migraine with aura,13 to 18 years old,0
6374,Migraine with aura,18 to 40,0
6375,Migraine with aura,18 to 65 years old,0
6376,Migraine with aura,over 65 years old,0
6377,Sjogren's syndrome,Unknown Age,1
6378,Sjogren's syndrome,under 1 year old,0
6379,Sjogren's syndrome,1 to 13 years old,0
6380,Sjogren's syndrome,13 to 18 years old,0
6381,Sjogren's syndrome,18 to 40,0
6382,Sjogren's syndrome,18 to 65 years old,2
6383,Sjogren's syndrome,over 65 years old,0
6384,Varicella,Unknown Age,1
6385,Varicella,under 1 year old,0
6386,Varicella,1 to 13 years old,0
6387,Varicella,13 to 18 years old,0
6388,Varicella,18 to 40,0
6389,Varicella,18 to 65 years old,0
6390,Varicella,over 65 years old,0
6391,Blood pressure diastolic increased,Unknown Age,0
6392,Blood pressure diastolic increased,under 1 year old,0
6393,Blood pressure diastolic increased,1 to 13 years old,0
6394,Blood pressure diastolic increased,13 to 18 years old,0
6395,Blood pressure diastolic increased,18 to 40,0
6396,Blood pressure diastolic increased,18 to 65 years old,1
6397,Blood pressure diastolic increased,over 65 years old,0
6398,Scar,Unknown Age,1
6399,Scar,under 1 year old,0
6400,Scar,1 to 13 years old,0
6401,Scar,13 to 18 years old,0
6402,Scar,18 to 40,0
6403,Scar,18 to 65 years old,0
6404,Scar,over 65 years old,0
6405,Pancreatic carcinoma,Unknown Age,0
6406,Pancreatic carcinoma,under 1 year old,0
6407,Pancreatic carcinoma,1 to 13 years old,0
6408,Pancreatic carcinoma,13 to 18 years old,0
6409,Pancreatic carcinoma,18 to 40,0
6410,Pancreatic carcinoma,18 to 65 years old,5
6411,Pancreatic carcinoma,over 65 years old,0
6412,Polyuria,Unknown Age,0
6413,Polyuria,under 1 year old,0
6414,Polyuria,1 to 13 years old,0
6415,Polyuria,13 to 18 years old,0
6416,Polyuria,18 to 40,1
6417,Polyuria,18 to 65 years old,5
6418,Polyuria,over 65 years old,1
6419,Behaviour disorder,Unknown Age,2
6420,Behaviour disorder,under 1 year old,0
6421,Behaviour disorder,1 to 13 years old,1
6422,Behaviour disorder,13 to 18 years old,0
6423,Behaviour disorder,18 to 40,0
6424,Behaviour disorder,18 to 65 years old,0
6425,Behaviour disorder,over 65 years old,0
6426,Eating disorder,Unknown Age,0
6427,Eating disorder,under 1 year old,0
6428,Eating disorder,1 to 13 years old,0
6429,Eating disorder,13 to 18 years old,0
6430,Eating disorder,18 to 40,0
6431,Eating disorder,18 to 65 years old,4
6432,Eating disorder,over 65 years old,0
6433,Emotional disorder,Unknown Age,0
6434,Emotional disorder,under 1 year old,0
6435,Emotional disorder,1 to 13 years old,0
6436,Emotional disorder,13 to 18 years old,0
6437,Emotional disorder,18 to 40,0
6438,Emotional disorder,18 to 65 years old,1
6439,Emotional disorder,over 65 years old,0
6440,Emotional distress,Unknown Age,2
6441,Emotional distress,under 1 year old,0
6442,Emotional distress,1 to 13 years old,0
6443,Emotional distress,13 to 18 years old,1
6444,Emotional distress,18 to 40,0
6445,Emotional distress,18 to 65 years old,1
6446,Emotional distress,over 65 years old,0
6447,Localised oedema,Unknown Age,0
6448,Localised oedema,under 1 year old,0
6449,Localised oedema,1 to 13 years old,0
6450,Localised oedema,13 to 18 years old,0
6451,Localised oedema,18 to 40,0
6452,Localised oedema,18 to 65 years old,1
6453,Localised oedema,over 65 years old,0
6454,Loss of control of legs,Unknown Age,0
6455,Loss of control of legs,under 1 year old,0
6456,Loss of control of legs,1 to 13 years old,0
6457,Loss of control of legs,13 to 18 years old,0
6458,Loss of control of legs,18 to 40,0
6459,Loss of control of legs,18 to 65 years old,1
6460,Loss of control of legs,over 65 years old,0
6461,Malignant melanoma,Unknown Age,0
6462,Malignant melanoma,under 1 year old,0
6463,Malignant melanoma,1 to 13 years old,0
6464,Malignant melanoma,13 to 18 years old,0
6465,Malignant melanoma,18 to 40,0
6466,Malignant melanoma,18 to 65 years old,1
6467,Malignant melanoma,over 65 years old,0
6468,Multiple sclerosis,Unknown Age,0
6469,Multiple sclerosis,under 1 year old,0
6470,Multiple sclerosis,1 to 13 years old,0
6471,Multiple sclerosis,13 to 18 years old,0
6472,Multiple sclerosis,18 to 40,0
6473,Multiple sclerosis,18 to 65 years old,2
6474,Multiple sclerosis,over 65 years old,0
6475,Post procedural discomfort,Unknown Age,0
6476,Post procedural discomfort,under 1 year old,0
6477,Post procedural discomfort,1 to 13 years old,0
6478,Post procedural discomfort,13 to 18 years old,0
6479,Post procedural discomfort,18 to 40,0
6480,Post procedural discomfort,18 to 65 years old,1
6481,Post procedural discomfort,over 65 years old,0
6482,Stress,Unknown Age,3
6483,Stress,under 1 year old,0
6484,Stress,1 to 13 years old,0
6485,Stress,13 to 18 years old,0
6486,Stress,18 to 40,0
6487,Stress,18 to 65 years old,8
6488,Stress,over 65 years old,7
6489,Colitis microscopic,Unknown Age,0
6490,Colitis microscopic,under 1 year old,0
6491,Colitis microscopic,1 to 13 years old,0
6492,Colitis microscopic,13 to 18 years old,0
6493,Colitis microscopic,18 to 40,0
6494,Colitis microscopic,18 to 65 years old,0
6495,Colitis microscopic,over 65 years old,2
6496,Intentional product misuse to child,Unknown Age,0
6497,Intentional product misuse to child,under 1 year old,1
6498,Intentional product misuse to child,1 to 13 years old,1
